iter	Logloss
0	0.6798340674
1	0.6671691941
2	0.6548453631
3	0.6433850825
4	0.6324374753
5	0.6226321711
6	0.6129670364
7	0.6040967148
8	0.5971101725
9	0.5897950969
10	0.5827579428
11	0.5760070455
12	0.5701837534
13	0.5642621033
14	0.5589000258
15	0.5529429518
16	0.5476978164
17	0.5427039056
18	0.5380269063
19	0.5341519482
20	0.5303306603
21	0.5269020115
22	0.524333043
23	0.5211224585
24	0.5180427635
25	0.5151099377
26	0.5122799287
27	0.5095869226
28	0.5069317391
29	0.50451885
30	0.5022512177
31	0.5002629777
32	0.4984443702
33	0.4967038965
34	0.4948795929
35	0.4932979257
36	0.4915110194
37	0.490014343
38	0.4886157656
39	0.4874735271
40	0.4859906368
41	0.4850422169
42	0.4840107848
43	0.4824255511
44	0.4814673139
45	0.4801967117
46	0.4791823643
47	0.4780094406
48	0.4768664771
49	0.4758216621
50	0.4749135997
51	0.4739576033
52	0.4731707407
53	0.4723781318
54	0.471712309
55	0.470757772
56	0.4699705492
57	0.469125783
58	0.4685620715
59	0.4679931791
60	0.4672641176
61	0.4666300527
62	0.4660561309
63	0.4655570354
64	0.4649296795
65	0.4641711178
66	0.4633237904
67	0.4627799202
68	0.4622088069
69	0.4616488587
70	0.4611249479
71	0.4605761101
72	0.4601282181
73	0.4593347159
74	0.4587823136
75	0.4579660816
76	0.4575076983
77	0.4568886711
78	0.4562456804
79	0.4553902762
80	0.454767785
81	0.4544126119
82	0.4540092189
83	0.4535757486
84	0.4530108849
85	0.4527495391
86	0.4522952067
87	0.4519380619
88	0.451656546
89	0.4512860857
90	0.4509832222
91	0.4504205986
92	0.4499359411
93	0.449729149
94	0.449230496
95	0.4489079523
96	0.4486603265
97	0.4484215499
98	0.4482463787
99	0.4479824864
100	0.447706213
101	0.4472986216
102	0.4470108939
103	0.4466272552
104	0.4464794379
105	0.4460014793
106	0.4458119686
107	0.4453641616
108	0.4448719959
109	0.4443777755
110	0.4440199952
111	0.4436579812
112	0.4432835326
113	0.4430978012
114	0.4427583077
115	0.4423284497
116	0.4418757443
117	0.4417818022
118	0.4415148513
119	0.4413656851
120	0.441149627
121	0.4409377521
122	0.440704575
123	0.4402270505
124	0.4399673661
125	0.4396142569
126	0.4394081035
127	0.4388942079
128	0.4385574994
129	0.4383289295
130	0.4379074688
131	0.4377687533
132	0.4372328681
133	0.4369268111
134	0.4365713006
135	0.4361551827
136	0.435902585
137	0.4357031468
138	0.4353086635
139	0.4351099905
140	0.4348937567
141	0.4345793751
142	0.4342321464
143	0.4337991421
144	0.4336226503
145	0.4333745764
146	0.4330385061
147	0.4327944647
148	0.4325039792
149	0.4323760026
150	0.432139196
151	0.4319802322
152	0.4317050496
153	0.4313896604
154	0.4312529
155	0.4311693537
156	0.4308834391
157	0.4305529217
158	0.4304060044
159	0.4301327246
160	0.4301219339
161	0.42975342
162	0.4293982
163	0.4291706902
164	0.4290322787
165	0.4287125112
166	0.4285898943
167	0.4282958766
168	0.4280442842
169	0.4279471394
170	0.4275673576
171	0.4272856109
172	0.4268513685
173	0.4266338929
174	0.4263722085
175	0.426099792
176	0.4259240932
177	0.4256195793
178	0.4254319669
179	0.4252584266
180	0.4249889698
181	0.4247593242
182	0.4245206003
183	0.4241425217
184	0.4239862025
185	0.423794552
186	0.4236447292
187	0.4232911642
188	0.4232127441
189	0.4229965064
190	0.4225725666
191	0.4224267568
192	0.4221769564
193	0.4220381367
194	0.4219483447
195	0.4218242617
196	0.4217093913
197	0.4214317751
198	0.4213063842
199	0.4211218006
200	0.4209741753
201	0.4207468296
