iter	Passed	Remaining
0	108	108384
1	226	112806
2	328	109297
3	435	108429
4	542	107897
5	659	109254
6	771	109489
7	877	108755
8	953	104961
9	1059	104887
10	1175	105729
11	1287	106002
12	1388	105410
13	1498	105564
14	1599	105024
15	1730	106443
16	1846	106752
17	1967	107312
18	2088	107846
19	2199	107759
20	2310	107720
21	2410	107153
22	2478	105301
23	2594	105494
24	2720	106093
25	2835	106217
26	2954	106462
27	3077	106833
28	3193	106934
29	3320	107378
30	3480	108796
31	3590	108616
32	3692	108213
33	3806	108140
34	3913	107905
35	4045	108328
36	4156	108194
37	4271	108125
38	4407	108604
39	4521	108516
40	4637	108462
41	4735	108014
42	4853	108016
43	4964	107858
44	5084	107903
45	5192	107696
46	5319	107868
47	5425	107595
48	5532	107377
49	5645	107262
50	5754	107071
51	5868	106988
52	5982	106899
53	6115	107131
54	6225	106966
55	6352	107088
56	6471	107063
57	6590	107034
58	6697	106825
59	6810	106700
60	6929	106667
61	7053	106714
62	7179	106780
63	7288	106591
64	7414	106650
65	7524	106489
66	7643	106440
67	7747	106183
68	7877	106294
69	7993	106203
70	8118	106231
71	8242	106230
72	8357	106128
73	8486	106194
74	8657	106779
75	8771	106637
76	8882	106470
77	8998	106371
78	9120	106330
79	9246	106332
80	9367	106276
81	9478	106109
82	9610	106174
83	9756	106394
84	9868	106236
85	9985	106121
86	10097	105962
87	10227	105999
88	10334	105787
89	10463	105797
90	10577	105660
91	10708	105691
92	10828	105609
93	10934	105391
94	11058	105349
95	11175	105232
96	11303	105224
97	11420	105115
98	11527	104908
99	11640	104766
100	11767	104744
101	11879	104590
102	12012	104611
103	12139	104588
104	12280	104679
105	12412	104682
106	12537	104635
107	12712	104999
108	12834	104909
109	12951	104789
110	13072	104695
111	13183	104522
112	13302	104417
113	13417	104281
114	13543	104222
115	13668	104165
116	13805	104187
117	13948	104260
118	14071	104176
119	14169	103906
120	14281	103748
121	14401	103643
122	14517	103508
123	14648	103484
124	14770	103390
125	14917	103477
126	15029	103311
127	15152	103229
128	15261	103045
129	15378	102919
130	15493	102778
131	15623	102734
132	15746	102650
133	15886	102670
134	16017	102627
135	16149	102598
136	16279	102546
137	16404	102470
138	16529	102385
139	16656	102319
140	16772	102180
141	16907	102161
142	17019	101998
143	17149	101946
144	17256	101752
145	17372	101616
146	17489	101487
147	17607	101359
148	17730	101268
149	17845	101126
150	17969	101035
151	18070	100815
152	18188	100690
153	18312	100599
154	18424	100442
155	18544	100331
156	18683	100319
157	18797	100174
158	18930	100127
159	19090	100224
160	19128	99682
161	19248	99568
162	19359	99410
163	19476	99283
164	19584	99109
165	19708	99019
166	19830	98915
167	19986	98982
168	20120	98934
169	20244	98842
170	20361	98713
171	20487	98625
172	20597	98462
173	20716	98344
174	20837	98231
175	20953	98102
176	21078	98008
177	21199	97897
178	21321	97794
179	21426	97610
180	21547	97500
181	21659	97346
182	21781	97245
183	21907	97155
184	22040	97095
185	22159	96979
186	22271	96828
187	22384	96683
188	22480	96464
189	22597	96338
190	22713	96203
191	22838	96110
192	22961	96010
193	23079	95888
194	23166	95635
195	23280	95496
196	23396	95365
197	23578	95504
198	23683	95330
199	23797	95189
200	23912	95053
